,Age,City,Profession,Marital Status,Education,No. of Family members,Annual Income,Would you prefer replacing all your vehicles to Electronic vehicles?,If Yes/Maybe what type of  EV would you prefer?,Do you think Electronic Vehicles are economical?,Which brand of vehicle do you currently own?,How much money could you spend on an Electronic vehicle?,Preference for wheels in EV,Do you think Electronic vehicles will replace fuel cars in India?
194,28,Pune,None,Married,Post Graduate,5,2161802.5522876484,Yes,Hatchback,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
195,29,Noida,None,Married,Graduate,4,1534821.7428558408,Yes,Hatchback,Yes,Maruti Suzuki,<15 lakhs,3,"Yes, in <10 years"
196,28,Hakdwani,None,Married,Post Graduate,4,1921983.753095678,Yes,SUV,Yes,Hyundai,<5 lakhs,2,I don't think so
197,29,Pune,Working Professional,Married,Graduate,4,1845026.2060320484,Yes,SUV,No,MG,<5 lakhs,2,"Yes, in <10 years"
198,44,Banglore ,Business,Married,Post Graduate,5,2947131.9305325774,Yes,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, possibly after 20 years"
199,22,Pune,Working Professional,Single,Post Graduate,5,2065952.3995272862,Yes,SUV,Yes,Nissan,<15 lakhs,2,"Yes, in <20years"
200,30,Nellore ,None,Single,Post Graduate,4,1142641.9539141646,Maybe,SUV,Yes,Tata,<25 lakhs,4,"Yes, in <10 years"
201,21,Kashipur ,Working Professional,Single,Post Graduate,5,3062343.0530589204,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, in <10 years"
202,30,Pune,Working Professional,Married,Post Graduate,7,2032459.3525286494,Yes,Liftback,Yes,KIA,<25 lakhs,2,"Yes, possibly after 20 years"
203,28,Chandrapur ,Working Professional,Single,Graduate,4,2670152.380417345,Maybe,Sedan,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
204,19,Pune,Working Professional,Single,Post Graduate,4,2871146.2988057407,Yes,SUV,Yes,Volkswagen,<15 lakhs,4,"Yes, possibly after 20 years"
205,27,Nellore ,Working Professional,Single,Graduate,5,2353061.0713037965,Yes,Hatchback,Yes,McLaren ,<15 lakhs,4,"Yes, in <20years"
206,28,Pune,None,Single,Post Graduate,4,2061784.0641239118,No,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
207,29,Pune,Working Professional,Single,Graduate,4,2840603.810683882,Yes,Sedan,Yes,Hyundai,<5 lakhs,4,"Yes, possibly after 20 years"
208,31,Mumbai,None,Married,Post Graduate,4,2438247.7810534206,Yes,SUV,No,KIA,<15 lakhs,4,"Yes, in <20years"
209,42,Nagpur,Business,Single,Graduate,6,1243490.9067491994,Yes,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
210,45,Pune,None,Married,Graduate,2,2422690.397690595,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
211,22,Mumbai,None,Single,Graduate,4,2646758.7331273817,Maybe,Sedan,Yes,KIA,<15 lakhs,2,"Yes, in <10 years"
212,25,New Delhi ,Business,Married,Graduate,2,2899137.490451923,Yes,SUV,No,Honda,<15 lakhs,2,"Yes, in <10 years"
213,27,Pune,None,Single,Graduate,3,1523071.502049189,Yes,SUV,Maybe,Tata,<5 lakhs,4,"Yes, in <10 years"
214,26,Pune,Working Professional,Married,Post Graduate,4,2910914.5708555738,Maybe,SUV,No,Tata,<15 lakhs,4,"Yes, in <10 years"
215,31,Pune,Working Professional,Married,Graduate,4,2639710.362976582,No,SUV,Maybe,Honda,<15 lakhs,2,"Yes, in <10 years"
216,44,Pune,Business,Married,Graduate,4,1948187.5848011281,Yes,Liftback,No,Tata,<25 lakhs,2,"Yes, in <10 years"
217,32,Pune,None,Single,Graduate,5,2917651.4968682555,Yes,SUV,Yes,Maruti,<15 lakhs,4,"Yes, in <10 years"
218,47,Pune,Working Professional,Single,Graduate,4,2782978.55956294,Yes,SUV,Yes,Tata,<25 lakhs,4,"Yes, in <10 years"
219,29,Pune,Business,Married,Graduate,6,2584897.3925297484,No,Sedan,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
220,32,Chennai,Working Professional,Single,Graduate,3,1152186.2194199176,Yes,Hatchback,Maybe,KIA,<15 lakhs,4,I don't think so
221,55,Karnal,Working Professional,Single,Post Graduate,3,1717366.7511447538,Maybe,SUV,Yes,Honda,<5 lakhs,3,"Yes, in <20years"
222,30,Nashik,Working Professional,Single,Graduate,4,2658218.9790136004,Yes,Sedan,Yes,Tata,<15 lakhs,4,"Yes, possibly after 20 years"
223,82,Pune,Working Professional,Single,Graduate,4,2267096.949070945,Yes,SUV,Yes,Volkswagen,>25 lakhs,4,"Yes, in <10 years"
224,30,Jalandhar,None,Single,Graduate,4,3033998.941300456,Maybe,Liftback,Yes,Tata,<25 lakhs,4,"Yes, in <10 years"
225,29,Pune ,None,Married,Graduate,4,2436741.768966306,Yes,Sedan,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
226,30,Pune,None,Single,Graduate,4,3241464.908451373,Yes,Sedan,Yes,KIA,<25 lakhs,4,"Yes, in <10 years"
227,20,Mumbai,None,Single,Graduate,3,2692468.251310107,Maybe,Liftback,Yes,Hyundai,<5 lakhs,2,"Yes, in <10 years"
228,26,Pune,None,Married,Post Graduate,5,1782661.9879642846,No,Liftback,Yes,MG,<15 lakhs,4,"Yes, in <20years"
229,29,Pune,None,Single,Graduate,2,2100729.8541301456,Yes,Hatchback,Maybe,Hyundai,<5 lakhs,4,"Yes, in <10 years"
230,29,Pune,None,Single,Post Graduate,5,2661929.656239975,Yes,Sedan,Yes,Honda,<15 lakhs,2,"Yes, in <10 years"
231,28,Pune,None,Married,Graduate,4,1796474.9846881279,Yes,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, in <10 years"
232,57,Delhi,Working Professional,Single,Graduate,4,3026786.7635116256,No,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
233,32,Pune,Working Professional,Single,Graduate,4,931066.9548906195,Yes,Sedan,Yes,Tata,<5 lakhs,2,"Yes, in <10 years"
234,33,Banglore ,None,Married,Graduate,4,1149354.7448778013,Yes,Liftback,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
235,32,Serampore,Working Professional,Married,Graduate,6,1309236.5771401224,Maybe,SUV,Yes,Volkswagen,<15 lakhs,4,"Yes, in <10 years"
236,22,New Delhi,Working Professional,Single,Graduate,0,3218774.106730799,No,Sedan,Yes,KIA,<5 lakhs,4,"Yes, in <20years"
237,29,Nellore ,None,Single,Graduate,4,2885067.7020468907,No,Hatchback,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
238,26,Pune,None,Married,Graduate,4,2536458.0964229642,Yes,Liftback,Yes,KIA,<15 lakhs,2,"Yes, in <10 years"
239,29,Pune,Working Professional,Single,Graduate,4,1942602.5529012098,Maybe,Sedan,Yes,Honda,<5 lakhs,4,"Yes, in <20years"
240,30,pUNE,Salaried,Married,Graduate,3,2214658.7401772677,Yes,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, possibly after 20 years"
241,25,Pune,None,Single,Post Graduate,4,2418571.9981622505,No,SUV,Yes,Hyundai,<5 lakhs,4,"Yes, in <10 years"
242,27,Nagpur,None,Single,Graduate,4,2751866.338294186,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, in <20years"
243,29,Bengaluru,Business,Single,Graduate,5,1749747.9575435827,Yes,SUV,Yes,Honda,<5 lakhs,4,"Yes, in <10 years"
244,28,Pune,Working Professional,Single,Post Graduate,5,1715760.7175748202,No,Liftback,Yes,Nissan,<15 lakhs,4,"Yes, in <10 years"
245,24,Pune,None,Single,Post Graduate,3,1921380.554677211,Yes,Liftback,Yes,Honda,1200000,3,"Yes, possibly after 20 years"
246,32,Pune,Business,Single,Graduate,4,1803215.8786189153,Maybe,Liftback,Maybe,Hyundai,<15 lakhs,2,"Yes, possibly after 20 years"
247,27,Pune,None,Single,Graduate,7,2804595.7774035567,Yes,Cabrio,Yes,Maruti,<15 lakhs,2,"Yes, possibly after 20 years"
248,24,pune,Business,Single,Graduate,7,2701691.340048425,Yes,Sedan,No,KIA,<5 lakhs,3,"Yes, in <10 years"
249,27,Pune,Working Professional,Single,Post Graduate,3,1644357.88152747,Yes,Liftback,No,Tata,<25 lakhs,4,"Yes, in <10 years"
250,26,solapur,None,Single,Post Graduate,3,1774627.477864614,Yes,Hatchback,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
251,31,Pune,None,Married,Post Graduate,5,2444250.7170829014,No,SUV,Yes,Hyundai,<25 lakhs,3,"Yes, in <20years"
252,28,Pune,Working Professional,Single,Post Graduate,4,1800004.4852764623,Yes,Cabrio,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
253,28,Pune,Working Professional,Single,Graduate,0,2650441.560060636,Yes,SUV,Yes,Nissan,<5 lakhs,2,"Yes, in <20years"
254,22,Pune ,Business,Single,Graduate,4,2635151.4496721094,Yes,SUV,Yes,Maruti,<15 lakhs,4,"Yes, in <10 years"
255,29,Mumbai,Working Professional,Single,Graduate,5,2772536.3467031973,Yes,Sedan,Yes,Nissan,1500000,4,"Yes, in <20years"
256,22,Satara,None,Single,Post Graduate,3,872732.4571248535,Yes,SUV,Maybe,Hyundai,<5 lakhs,4,"Yes, in <10 years"
257,60,Pune,None,Married,Graduate,5,2909087.6814665417,Maybe,SUV,Yes,Chevrolet ,<5 lakhs,4,"Yes, in <10 years"
258,29,Pune,None,Single,Graduate,0,2220750.991797319,Maybe,SUV,Yes,Hyundai,<25 lakhs,4,"Yes, in <10 years"
259,47,Pune,None,Single,Graduate,4,2521203.472698252,Yes,Liftback,Yes,Tata,<5 lakhs,4,"Yes, in <10 years"
260,28,Pune,Salaried,Single,Post Graduate,4,2715509.727151582,Yes,Hatchback,No,Honda,<5 lakhs,4,"Yes, possibly after 20 years"
261,32,Pune,Working Professional,Single,Graduate,4,2134150.8048054636,Yes,Sedan,Maybe,Hyundai,<15 lakhs,4,"Yes, in <10 years"
262,54,Pune,None,Single,Graduate,4,2868869.612209541,Yes,Sedan,Maybe,Tata,>25 lakhs,4,"Yes, in <10 years"
263,25,Kashipur ,Working Professional,Single,Graduate,4,1934417.0373143794,Yes,Sedan,Yes,Tata,<5 lakhs,4,"Yes, in <10 years"
264,31,Mumbai ,None,Single,Graduate,4,2907526.5677242214,Maybe,SUV,Yes,Hyundai,<5 lakhs,4,I don't think so
265,31,Pune,None,Married,Graduate,5,2169159.297055014,Maybe,Hatchback,Yes,KIA,<25 lakhs,4,"Yes, in <10 years"
266,28,Pune,None,Single,Graduate,1,2397538.2888823305,No,SUV,Maybe,Tata,<15 lakhs,4,"Yes, in <10 years"
267,23,Pune,None,Married,Post Graduate,3,2357748.3055824838,Yes,Hatchback,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
268,37,Pune,None,Married,Graduate,4,3043302.286797443,Maybe,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
269,30,Pune,None,Married,Graduate,5,3140691.4677182157,Yes,Sedan,Yes,Hyundai,<15 lakhs,2,"Yes, in <10 years"
270,29,Chennai,Working Professional,Single,Post Graduate,5,3030047.0445997976,No,Cabrio,Yes,Honda,<15 lakhs,3,"Yes, in <20years"
271,26,Pune,None,Single,Post Graduate,4,2156969.478301977,Yes,Hatchback,Yes,Tata,<5 lakhs,3,"Yes, in <10 years"
272,56,Pune,Business,Single,Graduate,4,1983271.0182964136,Yes,Hatchback,Yes,BMW,<15 lakhs,2,"Yes, in <10 years"
273,31,Pune,Working Professional,Single,Graduate,4,1919320.0073182103,Yes,Sedan,No,KIA,<25 lakhs,4,"Yes, in <10 years"
274,26,Nellore ,Business,Married,Graduate,8,2661447.5167569257,Yes,SUV,Yes,Maruti,1500000,4,"Yes, in <20years"
275,24,Pune,None,Single,Post Graduate,3,3089311.8694286244,Yes,SUV,Yes,KIA,<15 lakhs,2,"Yes, in <10 years"
276,22,Pune,None,Single,Graduate,3,2538392.7933982685,Yes,SUV,Yes,McLaren ,<25 lakhs,2,"Yes, in <20years"
277,29,Kashipur ,Salaried,Single,Graduate,5,2640149.6788906395,Yes,Hatchback,Yes,KIA,<5 lakhs,4,"Yes, in <20years"
278,22,Nellore ,None,Single,Graduate,4,1953985.2372184158,No,SUV,Yes,Honda,<5 lakhs,2,"Yes, in <20years"
279,25,Pune,Business,Married,Graduate,4,2569802.2341930633,No,Liftback,Yes,Tata,1200000,4,I don't think so
280,48,Pune ,None,Married,Post Graduate,7,3331330.018246921,Yes,Liftback,No,Hyundai,<5 lakhs,2,"Yes, in <10 years"
281,48,Delhi,None,Married,Graduate,3,1934715.0803705934,No,Sedan,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
282,52,Nagpur,None,Single,Graduate,6,1553783.4127875292,Maybe,SUV,Yes,Nissan,<5 lakhs,2,"Yes, in <20years"
283,48,Pune,Business,Single,Graduate,3,1553287.9845221443,Yes,SUV,Yes,Honda,<15 lakhs,2,"Yes, in <20years"
284,29,Hakdwani,Business,Single,Post Graduate,2,1509084.4409933444,Yes,Sedan,Maybe,Nissan,<15 lakhs,3,"Yes, in <20years"
285,31,Pune,Working Professional,Married,Graduate,4,2622751.4809922213,Yes,Liftback,Yes,KIA,<15 lakhs,4,"Yes, in <20years"
286,32,Chandrapur ,Business,Single,Graduate,5,2591091.387559344,No,Cabrio,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
287,52,Pune,Working Professional,Single,Graduate,4,1829850.2668720388,Yes,Sedan,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
288,28,Chennai,Working Professional,Single,Graduate,3,1998803.3214221555,Yes,SUV,Maybe,KIA,<5 lakhs,4,"Yes, possibly after 20 years"
289,25,Pune,Working Professional,Single,Post Graduate,4,1346859.291057197,Yes,Sedan,Yes,KIA,<15 lakhs,4,"Yes, possibly after 20 years"
290,29,Mumbai,None,Single,Graduate,4,2001556.0084582972,Yes,Hatchback,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
291,30,Pune,Working Professional,Married,Graduate,3,2593228.822689943,Yes,SUV,Maybe,Volkswagen,<25 lakhs,2,"Yes, in <10 years"
292,23,pune,Business,Single,Post Graduate,5,2518606.5077311695,Yes,SUV,Yes,Nissan,<5 lakhs,4,"Yes, in <20years"
293,25,Pune,Working Professional,Single,Graduate,4,2856092.4667104594,Yes,SUV,Yes,Maruti,<5 lakhs,2,"Yes, in <10 years"
294,29,Pune,Working Professional,Married,Graduate,4,966686.4129454952,No,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
295,26,Nagpur,None,Single,Graduate,1,1266686.7570649055,Yes,Liftback,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
296,25,Mumbai,None,Married,Graduate,4,2927289.0458826856,Maybe,SUV,Yes,Maruti Suzuki,1500000,4,"Yes, possibly after 20 years"
297,26,Jalandhar,Salaried,Single,Graduate,4,517544.2678805825,Yes,SUV,Maybe,KIA,<15 lakhs,2,"Yes, in <20years"
298,19,Mumbai ,Working Professional,Single,Graduate,4,1372255.3893957809,Maybe,Liftback,Yes,KIA,<25 lakhs,4,"Yes, in <20years"
299,28,Noida,Salaried,Married,Post Graduate,1,-160454.01116387395,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
300,26,Mumbai,None,Single,Graduate,6,2925576.5523213083,Yes,Liftback,No,KIA,<15 lakhs,4,I don't think so
301,28,Pune,None,Single,Graduate,6,2414632.0800822894,Yes,Sedan,Yes,Hyundai,<25 lakhs,4,"Yes, possibly after 20 years"
302,22,Pune,None,Single,Post Graduate,0,1795917.8290929645,Yes,Sedan,Yes,Nissan,<25 lakhs,3,I don't think so
303,28,Pune,Business,Married,Post Graduate,3,2570908.6095471787,Yes,SUV,Yes,Nissan,<15 lakhs,4,"Yes, in <20years"
304,31,Pune,Working Professional,Single,Graduate,4,2141946.2665558523,Yes,Sedan,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
305,32,Chennai,Working Professional,Single,Post Graduate,4,945974.8911291314,Yes,Liftback,Yes,Hyundai,<15 lakhs,4,"Yes, in <20years"
306,44,Pune,Working Professional,Married,Graduate,5,2352263.2951653847,Yes,SUV,Maybe,Nissan,<15 lakhs,2,"Yes, in <20years"
307,58,Delhi ,None,Single,Graduate,4,2625721.5799940117,Maybe,Hatchback,Yes,Hyundai,<5 lakhs,2,"Yes, possibly after 20 years"
308,32,Pune,None,Single,Post Graduate,1,1470074.228467675,Yes,Liftback,Yes,Honda,>25 lakhs,4,"Yes, in <10 years"
309,32,Nabha,Business,Married,Graduate,7,2110382.750752344,Yes,SUV,No,BMW,<5 lakhs,4,"Yes, in <10 years"
310,19,Pune,None,Married,Graduate,3,2522675.4954491393,Yes,Sedan,Yes,Tata,<5 lakhs,4,"Yes, possibly after 20 years"
311,26,Pune,Business,Single,Graduate,4,3302472.0236605606,Yes,SUV,Maybe,KIA,<25 lakhs,4,"Yes, in <20years"
312,69,Serampore,None,Married,Post Graduate,5,1061559.3956850637,Maybe,Liftback,Yes,KIA,<15 lakhs,3,"Yes, in <10 years"
313,30,Pune,Business,Married,Graduate,2,2722756.7926731915,No,Sedan,Maybe,KIA,<25 lakhs,4,"Yes, in <10 years"
314,32,Pune,None,Single,Graduate,4,3011406.8134678723,Yes,Sedan,Maybe,KIA,<15 lakhs,2,"Yes, in <20years"
315,59,Pune,Working Professional,Married,Post Graduate,3,1492221.4254077487,Yes,SUV,No,KIA,<15 lakhs,4,"Yes, in <20years"
316,67,Pune,None,Married,Post Graduate,4,1528042.3676060648,Yes,Sedan,Yes,MG,<15 lakhs,4,I don't think so
317,27,Pune,Business,Single,Post Graduate,4,1223031.3664491514,Yes,SUV,Yes,Nissan,<5 lakhs,2,"Yes, possibly after 20 years"
318,26,solapur,Business,Single,Post Graduate,5,2952264.3203029125,Yes,Sedan,Yes,Maruti ,<25 lakhs,4,"Yes, possibly after 20 years"
319,24,solapur,None,Single,Graduate,8,3067399.5283205886,No,SUV,Yes,MG,<5 lakhs,3,"Yes, possibly after 20 years"
320,31,Pune ,Working Professional,Single,Graduate,4,2077256.623878928,Yes,SUV,Yes,Nissan,<5 lakhs,3,"Yes, in <10 years"
321,57,Patiyala,None,Single,Graduate,4,1271534.5235775257,Yes,Liftback,Yes,MG,<15 lakhs,3,"Yes, in <10 years"
322,25,Pune ,None,Single,Graduate,4,2435370.3666292727,Yes,SUV,Yes,Hyundai,<15 lakhs,2,"Yes, in <10 years"
323,29,Noida,None,Single,Graduate,4,2316420.4171179174,Yes,Cabrio,Yes,Honda,<15 lakhs,2,"Yes, in <20years"
324,24,Pune,Working Professional,Married,Post Graduate,4,3319284.4670069013,Yes,Sedan,Yes,Suzuki ,<15 lakhs,2,"Yes, in <10 years"
325,31,Mumbai,Working Professional,Married,Post Graduate,4,2409643.1342947995,Maybe,SUV,Yes,Volkswagen,<15 lakhs,3,"Yes, in <10 years"
326,30,Pune,Business,Married,Post Graduate,3,2701600.7517294046,Yes,Sedan,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
327,29,Pune,Business,Single,Graduate,4,1251129.6170178126,Yes,SUV,No,Hyundai,<15 lakhs,4,"Yes, in <10 years"
328,46,Nashik,None,Single,Post Graduate,4,2510057.2164070504,Yes,Hatchback,Maybe,Honda,<5 lakhs,4,"Yes, in <20years"
329,57,Pune,Working Professional,Single,Graduate,6,2565306.657845526,Yes,Sedan,Yes,KIA,2000000,4,"Yes, in <10 years"
330,29,Pune,None,Single,Post Graduate,4,2256677.345857768,Yes,SUV,Yes,Honda,<25 lakhs,2,"Yes, in <10 years"
331,31,Pune,None,Single,Graduate,5,2328798.6745477924,Maybe,Sedan,Yes,Hyundai,<25 lakhs,2,"Yes, in <20years"
332,27,Pune,Working Professional,Single,Post Graduate,4,1175581.7758025543,No,SUV,Maybe,Chevrolet ,<15 lakhs,4,"Yes, in <20years"
333,17,Pune,Working Professional,Single,Graduate,4,1779344.5838286642,Yes,SUV,Yes,Nissan,<25 lakhs,4,"Yes, in <10 years"
334,27,Pune,Working Professional,Single,Graduate,5,2419171.9773264052,Yes,SUV,Yes,Volkswagen,<25 lakhs,2,"Yes, in <10 years"
335,40,Pune,None,Single,Post Graduate,4,2836940.7484747777,Yes,Hatchback,Yes,Maruti,<25 lakhs,4,"Yes, in <20years"
336,32,Pune,Working Professional,Single,Graduate,0,1942721.0663797297,Yes,Sedan,Maybe,Tata,<15 lakhs,4,"Yes, in <10 years"
337,27,New Delhi ,Working Professional,Married,Graduate,3,1974874.0800542831,No,SUV,Yes,Volkswagen,<15 lakhs,2,"Yes, in <20years"
338,28,Banglore ,Working Professional,Single,Graduate,4,310414.5630725402,Yes,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
339,26,New Delhi,Working Professional,Single,Graduate,6,1912020.9845293278,Yes,Sedan,Yes,Tata,<15 lakhs,2,"Yes, in <10 years"
340,25,Nellore ,None,Single,Graduate,4,2465067.014397173,Yes,SUV,Yes,KIA,<15 lakhs,2,"Yes, in <20years"
341,19,Pune,None,Single,Graduate,4,3056746.0425383053,Yes,SUV,Yes,Maruti Suzuki,<15 lakhs,2,"Yes, in <10 years"
342,31,Pune,None,Married,Graduate,8,1315912.262454491,Yes,Sedan,Yes,Volkswagen,<5 lakhs,4,"Yes, in <20years"
343,29,Pune,None,Single,Graduate,4,1064091.1309795585,Maybe,Liftback,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
344,25,Banglore ,None,Single,Graduate,4,2918441.037704938,No,SUV,Maybe,Chevrolet ,<15 lakhs,2,"Yes, in <20years"
345,29,Pune,None,Single,Post Graduate,3,2425690.14377861,Maybe,SUV,Yes,Honda,<15 lakhs,2,I don't think so
346,30,Pune,None,Single,Graduate,4,3054028.2432349427,No,SUV,Yes,Chevrolet ,1200000,3,"Yes, in <20years"
347,65,Pune,None,Single,Graduate,5,1276329.1911105884,Yes,Liftback,Yes,Hyundai,<25 lakhs,4,"Yes, in <20years"
348,25,Pune,Working Professional,Single,Graduate,2,1010036.2130381663,Yes,SUV,Yes,MG,<15 lakhs,2,"Yes, in <20years"
349,26,Chandrapur ,Working Professional,Single,Graduate,4,2645759.2669629864,Maybe,SUV,Yes,Tata,<15 lakhs,4,"Yes, in <20years"
350,86,Pune,Working Professional,Single,Graduate,3,2520732.712904865,Maybe,SUV,Maybe,Maruti,<15 lakhs,3,"Yes, in <20years"
351,32,Pune,None,Single,Graduate,4,1151149.1048250035,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
352,69,Pune,Working Professional,Married,Graduate,4,1193787.5199018903,Yes,Hatchback,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
353,31,Pune,Business,Married,Graduate,0,1602771.0676899026,Maybe,Sedan,Yes,Nissan,<25 lakhs,4,"Yes, in <10 years"
354,28,Serampore,Working Professional,Married,Post Graduate,5,2399570.611616314,Yes,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
355,62,Pune ,None,Married,Post Graduate,4,3097908.9255027724,Yes,SUV,Yes,KIA,<15 lakhs,4,"Yes, in <10 years"
356,62,Rewari,None,Single,Graduate,5,2230784.5839585396,Maybe,Hatchback,Yes,Tata,<15 lakhs,3,"Yes, in <10 years"
357,27,Pune,None,Single,Graduate,5,1205309.3527434259,No,SUV,Yes,Maruti,<15 lakhs,2,"Yes, possibly after 20 years"
358,29,Pune,Working Professional,Married,Graduate,4,1996396.7416577737,Yes,Hatchback,Yes,Hyundai,<15 lakhs,4,"Yes, possibly after 20 years"
359,24,Pune,Working Professional,Single,Graduate,4,2361575.924093412,Yes,Sedan,Maybe,Hyundai,<5 lakhs,2,"Yes, in <20years"
360,31,Pune,Working Professional,Married,Graduate,0,2389193.6822393695,Maybe,Sedan,Yes,Honda,<15 lakhs,4,"Yes, in <10 years"
361,25,Pune,None,Single,Post Graduate,5,3005644.3482488818,Yes,Sedan,Maybe,Maruti,<15 lakhs,2,"Yes, in <20years"
362,30,Pune,Working Professional,Single,Post Graduate,3,2053524.8800197951,Yes,SUV,Maybe,Tata,<25 lakhs,4,"Yes, in <10 years"
363,31,Banglore ,Working Professional,Married,Graduate,4,2069222.93730943,Yes,Liftback,Yes,Chevrolet ,<5 lakhs,4,"Yes, in <10 years"
364,25,Pune,None,Single,Post Graduate,4,1971833.906121416,Yes,Liftback,No,Tata,<25 lakhs,4,"Yes, in <10 years"
365,32,Pune,None,Single,Graduate,5,2709241.614406424,Yes,Hatchback,Yes,Tata,<5 lakhs,4,"Yes, in <10 years"
366,30,Pune,None,Single,Graduate,5,2091702.690706601,Maybe,Hatchback,Yes,Maruti,<15 lakhs,2,"Yes, in <10 years"
367,36,Nagpur,Working Professional,Single,Post Graduate,3,2811165.3021919993,Yes,SUV,Yes,Maruti,<5 lakhs,4,"Yes, in <20years"
368,25,Delhi,Business,Single,Post Graduate,3,2469787.639081053,Yes,Hatchback,Maybe,Maruti,>25 lakhs,2,"Yes, in <10 years"
369,30,Pune,Salaried,Married,Graduate,4,3226539.696795825,Yes,SUV,No,KIA,<15 lakhs,2,"Yes, in <20years"
370,58,Pune,Business,Single,Post Graduate,4,3053754.8312175367,Yes,Cabrio,No,Nissan,<5 lakhs,2,"Yes, in <20years"
371,31,Patiyala,None,Single,Graduate,8,483374.541112141,Yes,SUV,Yes,Maruti,<15 lakhs,4,I don't think so
372,24,Pune,Working Professional,Single,Graduate,4,1508494.980555489,Yes,Sedan,No,KIA,<5 lakhs,4,"Yes, possibly after 20 years"
373,26,Pune,Working Professional,Married,Graduate,4,2752568.7346652993,Maybe,SUV,Yes,MG,<5 lakhs,2,"Yes, possibly after 20 years"
374,30,Pune ,Working Professional,Single,Graduate,5,2643694.9014186384,Yes,SUV,Yes,Volkswagen,<15 lakhs,2,"Yes, in <10 years"
375,28,Pune,None,Married,Graduate,4,2643963.671720525,Yes,Sedan,Yes,Tata,<25 lakhs,2,"Yes, in <10 years"
376,30,Chennai,None,Single,Graduate,4,1725239.1755331198,Yes,SUV,Yes,Nissan,<25 lakhs,4,"Yes, in <20years"
377,69,Pune,Salaried,Single,Graduate,3,2492059.7880082713,No,Sedan,No,Honda,<15 lakhs,4,"Yes, in <10 years"
378,28,solapur,Working Professional,Single,Post Graduate,2,1556610.367271992,Yes,Liftback,Yes,Tata,<25 lakhs,4,"Yes, in <10 years"
379,27,Satara,Business,Single,Graduate,4,2520495.2367495494,Yes,Sedan,No,Tata,<15 lakhs,3,I don't think so
380,25,Pune,None,Married,Post Graduate,1,2092076.4236723436,Yes,SUV,Maybe,Tata,>25 lakhs,4,"Yes, in <20years"
381,28,Pune,None,Single,Graduate,4,1758734.8428550344,Yes,SUV,Yes,Hyundai,<15 lakhs,4,"Yes, in <10 years"
382,30,Pune,Working Professional,Single,Graduate,4,1418443.228876208,Yes,Sedan,Yes,Honda,<25 lakhs,2,"Yes, in <20years"
383,28,Mumbai,Working Professional,Single,Graduate,4,1238983.2956311808,No,SUV,Yes,Hyundai,<15 lakhs,4,I don't think so
384,32,Pune,Working Professional,Single,Graduate,3,2151226.25374248,Yes,SUV,No,Hyundai,<25 lakhs,2,"Yes, possibly after 20 years"
385,22,Pune,Working Professional,Single,Graduate,3,820076.7052493639,Yes,Sedan,Yes,Honda,<15 lakhs,2,"Yes, in <10 years"
386,31,Bengaluru,Working Professional,Single,Graduate,4,1465276.3416803,Yes,Liftback,Maybe,MG,<5 lakhs,4,"Yes, in <20years"
387,31,Pune,Business,Married,Graduate,4,2537646.675061612,No,Sedan,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
388,23,Chennai,Working Professional,Single,Graduate,4,1054249.278049697,Yes,SUV,No,Tata,<5 lakhs,2,"Yes, in <20years"
